STATE,MURDERS
ALABAMA,326
ALASKA,32
ARIZONA,440
ARKANSAS,176
CALIFORNIA,"2,503"
COLORADO,170
CONNECTICUT,91
DELAWARE,37
GEORGIA,516
HAWAII,20
IDAHO,34
ILLINOIS,448
INDIANA,331
IOWA,38
KANSAS,95
KENTUCKY,177
LOUISIANA,399
MAINE,19
MARYLAND,551
MASSACHUSETTS,171
MICHIGAN,614
MINNESOTA,115
MISSISSIPPI,163
MISSOURI,401
MONTANA,17
NEBRASKA,13
NEVADA,205
NEW HAMPSHIRE,16
NEW JERSEY,417
NEW MEXICO,133
NEW YORK,868
NORTH CAROLINA,566
NORTH DAKOTA,7
OHIO,549
OKLAHOMA,187
OREGON,79
PENNSYLVANIA,734
RHODE ISLAND,34
SOUTH CAROLINA,312
SOUTH DAKOTA,14
TENNESSEE,428
TEXAS,"1,406"
UTAH,56
VERMONT,8
VIRGINIA,459
WASHINGTON,205
WEST VIRGINIA,72
WISCONSIN,194
WYOMING,14
